Ticker,Type,Market Cap,Percentile,Cap Category,Type_Cap_Category
NVR,Growth,24058888192,0.3658051689860835,Mid Cap,Growth Mid Cap
NXPI,Blend,69571616768,0.7395626242544732,Large Cap,Blend Large Cap
ORLY,Growth,56730333184,0.6918489065606361,Large Cap,Growth Large Cap
OXY,Value,55414812672,0.6858846918489065,Large Cap,Value Large Cap
ODFL,Growth,38079193088,0.532803180914513,Mid Cap,Growth Mid Cap
OMC,Value,18204729344,0.26043737574552683,Small Cap,Value Small Cap
ON,Blend,31424145408,0.46123260437375746,Mid Cap,Blend Mid Cap
OKE,Blend,47275405312,0.6242544731610338,Mid Cap,Blend Mid Cap
ORCL,Growth,322097872896,0.9582504970178927,Large Cap,Growth Large Cap
OTIS,Blend,40108843008,0.558648111332008,Mid Cap,Blend Mid Cap
PCAR,Growth,56345587712,0.6878727634194831,Large Cap,Growth Large Cap
PKG,Blend,16477035520,0.21073558648111332,Small Cap,Blend Small Cap
PANW,Growth,95491858432,0.8071570576540755,Large Cap,Growth Large Cap
PARA,Blend,8290657792,0.03180914512922465,Small Cap,Blend Small Cap
PH,Growth,68322115584,0.7335984095427436,Large Cap,Growth Large Cap
PAYX,Blend,43253157888,0.5825049701789264,Mid Cap,Blend Mid Cap
PAYC,Growth,8444545536,0.03777335984095427,Small Cap,Growth Small Cap
PYPL,Value,65890689024,0.7216699801192843,Large Cap,Value Large Cap
PNR,Growth,13511113728,0.13916500994035785,Small Cap,Growth Small Cap
PEP,Blend,237701185536,0.9423459244532804,Large Cap,Blend Large Cap
PFE,Value,162404466688,0.8986083499005965,Large Cap,Value Large Cap
PCG,Value,48480247808,0.6441351888667992,Mid Cap,Value Mid Cap
PM,Blend,157601284096,0.8926441351888668,Large Cap,Blend Large Cap
PSX,Value,60247818240,0.7017892644135189,Large Cap,Value Large Cap
PNW,Blend,8955262976,0.0437375745526839,Small Cap,Blend Small Cap
